"position","videoId","seen","published","title","description"
"25","JGT7mYQbQmw","False","4/10/2015 5:52:41 PM +00:00","Твои весёлые друзья-зверята. Сериал для детей из 26 серий. 3 серия. Орангутанг Отто.","Название: Твои веселые друзья зверята. Жанр: Документальный, научно-познавательный, семейный. Страна: США, ВВС. Год выпуска: 2009. Режиссер: Вив Симсон. О фильме: Познавательный и увлекательный сериал для самых маленьких зрителей. В этом фильме дети смогут не только наблюдать за любимыми животными, но и узнают ответы на многие любопытные вопросы, например такие как: кто громче всех рычит, у кого самая большая семья и даже у кого самый неприятный запах. А также познакомятся со многими другими поразительными цифрами и фактами, касающимися живой природы. Орангутан Отто. Соверши путешествие в джунгли Борнео и познакомься с маленьким орангутаном Отто и его мамой Джинджер. Посмотри, как орангутаны прыгают по деревьям и строят огромные гнезда на их верхушках. Кроме того, ты сможешь понаблюдать за другими человекообразными обезьянами, например за гориллами и шимпанзе. ==================================================. Друзья, не забывайте подписываться на мой канал, чтобы не пропустить новые интересные видео из жизни Царя Зверей,- Льва (Pantera Leo)  и других животных семейства кошачьих. https://www.youtube.com/user/lion2125eye. ==================================================. =================================================="
"20","gHO9PHHpij4","False","4/10/2015 5:52:41 PM +00:00","Твои весёлые друзья-зверята. Сериал для детей из 26 серий. 8 серия. Страус.","Название: Твои веселые друзья зверята. 8 серия:. Страус Олли. Понаблюдай, как Олли пробивает скорлупу яйца, чтобы открыть дорогу в неизвестный мир - всего через несколько минут он сделает свой первый шаг! Жизнь маленького страусенка в саванне не так проста, и Олли должен быть осторожен - такие голодные охотники, как вороны, шакалы и львы, всегда готовы наброситься на птенца. К счастью, родители Олли рядом - посмотри, как они защищают малыша: его отец запросто может убить льва одним ударом!. Оригинальное название: Your gay friends animals. Жанр: Документальный, научно-познавательный, семейный. Страна: США, ВВС. Год выпуска: 2009. Режиссер: Вив Симсон. О фильме: Познавательный и увлекательный сериал для самых маленьких зрителей. В этом фильме дети смогут не только наблюдать за любимыми животными, но и узнают ответы на многие любопытные вопросы, например такие как: кто громче всех рычит, у кого самая большая семья и даже у кого самый неприятный запах. А также познакомятся со многими другими поразительными цифрами и фактами, касающимися живой природы. ==================================================. Друзья, не забывайте подписываться на мой канал, чтобы не пропустить новые интересные видео из жизни Царя Зверей,- Льва (Pantera Leo)  и других животных семейства кошачьих. https://www.youtube.com/user/lion2125eye. ==================================================. =================================================="
"21","aHNed4hYiRc","False","4/10/2015 5:52:41 PM +00:00","Твои весёлые друзья-зверята. Сериал для детей из 26 серий. 7 серия. Бобёр.","Название: Твои веселые друзья зверята. 7 серия:. Бобер Берт. Узнай, как бобер Берт и его жена подгрызают и валят деревья, чтобы бревнами и ветками перегородить реку! Посмотри, как бобры создают плотину, в которой образуется глубокая заводь - именно здесь эти сообразительные животные строят свое жилище, надежно защищенное от врагов. А еще они запасаются едой на зиму. Бобры - очень деятельные зверьки!. Оригинальное название: Your gay friends animals. Жанр: Документальный, научно-познавательный, семейный. Страна: США, ВВС. Год выпуска: 2009. Режиссер: Вив Симсон. О фильме: Познавательный и увлекательный сериал для самых маленьких зрителей. В этом фильме дети смогут не только наблюдать за любимыми животными, но и узнают ответы на многие любопытные вопросы, например такие как: кто громче всех рычит, у кого самая большая семья и даже у кого самый неприятный запах. А также познакомятся со многими другими поразительными цифрами и фактами, касающимися живой природы. ==================================================. Друзья, не забывайте подписываться на мой канал, чтобы не пропустить новые интересные видео из жизни Царя Зверей,- Льва (Pantera Leo)  и других животных семейства кошачьих. https://www.youtube.com/user/lion2125eye. ==================================================. =================================================="
"22","zHL5odgZOxY","False","4/10/2015 5:52:41 PM +00:00","Твои весёлые друзья-зверята. Сериал для детей из 26 серий. 6 серия. Крокодил","Название: Твои веселые друзья зверята.Крокодил Карл. Крокодильчик Карл и его братишки и сестренки вылупливаются из яиц! Понаблюдай за охотой на крупных животных - зебр, буйволов и антилоп! Узнай, чем питается Карл и как борется за свое существование!. Оригинальное название: Your gay friends animals. Жанр: Документальный, научно-познавательный, семейный. Страна: США, ВВС. Год выпуска: 2009. Режиссер: Вив Симсон. О фильме: Познавательный и увлекательный сериал для самых маленьких зрителей. В этом фильме дети смогут не только наблюдать за любимыми животными, но и узнают ответы на многие любопытные вопросы, например такие как: кто громче всех рычит, у кого самая большая семья и даже у кого самый неприятный запах. А также познакомятся со многими другими поразительными цифрами и фактами, касающимися живой природы. ==================================================. Друзья, не забывайте подписываться на мой канал, чтобы не пропустить новые интересные видео из жизни Царя Зверей,- Льва (Pantera Leo)  и других животных семейства кошачьих. https://www.youtube.com/user/lion2125eye. ==================================================. =================================================="
"5","e6JA-bNaeDQ","False","4/10/2015 5:52:41 PM +00:00","Твои весёлые друзья-зверята. Сериал для детей из 26 серий. 23 серия. Обезьяна.","Название: Твои веселые друзья зверята. 23 серия:. Обезьянка Ларри. Ларри - обезьянка, ему всего восемь месяцев, но он очень подвижен, весел и любит поиграть. Он живет в середине древнего города Джодхпура, в котором живет около 800 тысяч человек. В этом городе обезьяны передвигаются прямо по крышам домов в поисках пропитания. Оригинальное название: Your gay friends animals. Жанр: Документальный, научно-познавательный, семейный. Страна: США, ВВС. Год выпуска: 2009. Режиссер: Вив Симсон. О фильме: Познавательный и увлекательный сериал для самых маленьких зрителей. В этом фильме дети смогут не только наблюдать за любимыми животными, но и узнают ответы на многие любопытные вопросы, например такие как: кто громче всех рычит, у кого самая большая семья и даже у кого самый неприятный запах. А также познакомятся со многими другими поразительными цифрами и фактами, касающимися живой природы. ==================================================. Друзья, не забывайте подписываться на мой канал, чтобы не пропустить новые интересные видео из жизни Царя Зверей,- Льва (Pantera Leo)  и других животных семейства кошачьих. https://www.youtube.com/user/lion2125eye. ==================================================. =================================================="
"6","IieHEDU8wJk","False","4/10/2015 5:52:41 PM +00:00","Твои весёлые друзья-зверята. Сериал для детей из 26 серий. 22 серия. Медведь Гризли.","Название: Твои веселые друзья зверята. 22 серия:. Медвежонок Гас. Гас - североамериканский медведь гризли. В настоящее время он достаточно маленький, но однажды он станет огромным зверем. Взрослый гризли может весить столько же, сколько небольшой автомобиль. Несмотря на неуклюжесть и большие размеры, медведи могут бегать со скоростью 50 километров в час, они отлично плавают и великолепно ловят рыбу. Носы гризли в 100 раз более чувствительные, чем у человека. Это помогает им находить себе пищу - фрукты, ягоды и травы. А всю зиму гризли спят в своей берлоге. Оригинальное название: Your gay friends animals. Жанр: Документальный, научно-познавательный, семейный. Страна: США, ВВС. Год выпуска: 2009. Режиссер: Вив Симсон. О фильме: Познавательный и увлекательный сериал для самых маленьких зрителей. В этом фильме дети смогут не только наблюдать за любимыми животными, но и узнают ответы на многие любопытные вопросы, например такие как: кто громче всех рычит, у кого самая большая семья и даже у кого самый неприятный запах. А также познакомятся со многими другими поразительными цифрами и фактами, касающимися живой природы. ==================================================. Друзья, не забывайте подписываться на мой канал, чтобы не пропустить новые интересные видео из жизни Царя Зверей,- Льва (Pantera Leo)  и других животных семейства кошачьих. https://www.youtube.com/user/lion2125eye. ==================================================. =================================================="
"7","NdK11CMQgw4","False","4/10/2015 5:52:41 PM +00:00","Твои весёлые друзья-зверята. Сериал для детей из 26 серий. 21 серия. Газель.","Название: Твои веселые друзья зверята. 21 серия:. Познакомься с малышкой Тэмми! Вместе со своей мамой и остальными членами стада она живет в саванне Танзании. Понаблюдай за первыми днями жизни крошки, посмотри, как она спасается от свирепых хищников, осваивает прыжки и разные трюки. Оригинальное название: Your gay friends animals. Жанр: Документальный, научно-познавательный, семейный. Страна: США, ВВС. Год выпуска: 2009. Режиссер: Вив Симсон. О фильме: Познавательный и увлекательный сериал для самых маленьких зрителей. В этом фильме дети смогут не только наблюдать за любимыми животными, но и узнают ответы на многие любопытные вопросы, например такие как: кто громче всех рычит, у кого самая большая семья и даже у кого самый неприятный запах. А также познакомятся со многими другими поразительными цифрами и фактами, касающимися живой природы. ==================================================. Друзья, не забывайте подписываться на мой канал, чтобы не пропустить новые интересные видео из жизни Царя Зверей,- Льва (Pantera Leo)  и других животных семейства кошачьих. https://www.youtube.com/user/lion2125eye. ==================================================. =================================================="
"2","XhlkyJzV1tY","False","4/10/2015 5:52:41 PM +00:00","Твои весёлые друзья-зверята. Сериал для детей из 26 серий. 26 серия. Капибара.","Название: Твои веселые друзья зверята. 26 серия:. Капибара Карла. Капибара - самый большой грызун в мире. Некоторые из них достигают размера небольшой овцы и весят до 65 кг. Их пища - всевозможные растения и кора деревьев. У капибар водостойкий мех и перепончатые ноги как у выдры, поэтому они великолепно себя чувствуют в воде и не слишком подвижны на суше. Они прекрасные ныряльщики и могут находиться под водой в течение 5 минут. Оригинальное название: Your gay friends animals. Жанр: Документальный, научно-познавательный, семейный. Страна: США, ВВС. Год выпуска: 2009. Режиссер: Вив Симсон. О фильме: Познавательный и увлекательный сериал для самых маленьких зрителей. В этом фильме дети смогут не только наблюдать за любимыми животными, но и узнают ответы на многие любопытные вопросы, например такие как: кто громче всех рычит, у кого самая большая семья и даже у кого самый неприятный запах. А также познакомятся со многими другими поразительными цифрами и фактами, касающимися живой природы. ==================================================. Друзья, не забывайте подписываться на мой канал, чтобы не пропустить новые интересные видео из жизни Царя Зверей,- Льва (Pantera Leo)  и других животных семейства кошачьих. https://www.youtube.com/user/lion2125eye. ==================================================. =================================================="
"3","FlVPJ41D1KA","False","4/10/2015 5:52:41 PM +00:00","Твои весёлые друзья-зверята. Сериал для детей из 26 серий. 25 серия. Гепард.","Название: Твои веселые друзья зверята. 25 серия:. Гепард Чику. В жаркой Кении в семье гепардов родилась Чику, она была всего 30 сантиметров в длину и весила менее 300 граммов. Для безопасности мать прячет ее и других детенышей от хищников в высокой траве. Хотя Чику все еще пьет молоко матери, совсем скоро ее зубы станут грозным оружием для других животных, а она научится быстро бегать, ведь гепарды - самые быстрые животные на земле. Оригинальное название: Your gay friends animals. Жанр: Документальный, научно-познавательный, семейный. Страна: США, ВВС. Год выпуска: 2009. Режиссер: Вив Симсон. О фильме: Познавательный и увлекательный сериал для самых маленьких зрителей. В этом фильме дети смогут не только наблюдать за любимыми животными, но и узнают ответы на многие любопытные вопросы, например такие как: кто громче всех рычит, у кого самая большая семья и даже у кого самый неприятный запах. А также познакомятся со многими другими поразительными цифрами и фактами, касающимися живой природы. ==================================================. Друзья, не забывайте подписываться на мой канал, чтобы не пропустить новые интересные видео из жизни Царя Зверей,- Льва (Pantera Leo)  и других животных семейства кошачьих. https://www.youtube.com/user/lion2125eye. ==================================================. =================================================="
"4","4PAUNyR8AsM","False","4/10/2015 5:52:41 PM +00:00","Твои весёлые друзья-зверята. Сериал для детей из 26 серий. 24 серия. Гиппопотам.","Название: Твои веселые друзья зверята. 24 серия:. Гиппопотамчик Хьюго. Этот ""малыш"" живет в Африке со своим сварливым папой и многострадальной мамой. Вы проведете целый день с Хьюго и увидите, как он общается со своей семьей, играет своим большим ртом с друзьями и избегает опасностей, подстерегающих малыша, несмотря на его большой размер, в воде и на суше. Оригинальное название: Your gay friends animals. Жанр: Документальный, научно-познавательный, семейный. Страна: США, ВВС. Год выпуска: 2009. Режиссер: Вив Симсон. О фильме: Познавательный и увлекательный сериал для самых маленьких зрителей. В этом фильме дети смогут не только наблюдать за любимыми животными, но и узнают ответы на многие любопытные вопросы, например такие как: кто громче всех рычит, у кого самая большая семья и даже у кого самый неприятный запах. А также познакомятся со многими другими поразительными цифрами и фактами, касающимися живой природы. ==================================================. Друзья, не забывайте подписываться на мой канал, чтобы не пропустить новые интересные видео из жизни Царя Зверей,- Льва (Pantera Leo)  и других животных семейства кошачьих. https://www.youtube.com/user/lion2125eye. ==================================================. =================================================="
"11","V__KdWKywfU","False","4/10/2015 5:52:41 PM +00:00","Твои весёлые друзья-зверята. Сериал для детей из 26 серий. 17 серия.Динго.","Название: Твои веселые друзья зверята. 17 серия:. Динго Дина.Крошка Ди живет с мамой Шейлой и братиком Дэйвом в одном из малонаселенных мест в Австралии. Среди соседей динго встречаются оригинальные создания: забавные вомбаты, быстрые кенгуру и яркие попугаи гала. Мама готовит малышку к самостоятельной жизни. Тут-то и начинаются невероятные приключения Дины!. Оригинальное название: Your gay friends animals. Жанр: Документальный, научно-познавательный, семейный. Страна: США, ВВС. Год выпуска: 2009. Режиссер: Вив Симсон. О фильме: Познавательный и увлекательный сериал для самых маленьких зрителей. В этом фильме дети смогут не только наблюдать за любимыми животными, но и узнают ответы на многие любопытные вопросы, например такие как: кто громче всех рычит, у кого самая большая семья и даже у кого самый неприятный запах. А также познакомятся со многими другими поразительными цифрами и фактами, касающимися живой природы. ==================================================. Друзья, не забывайте подписываться на мой канал, чтобы не пропустить новые интересные видео из жизни Царя Зверей,- Льва (Pantera Leo)  и других животных семейства кошачьих. https://www.youtube.com/user/lion2125eye. ==================================================. =================================================="
"12","vcFGa7G8SS0","False","4/10/2015 5:52:41 PM +00:00","Твои весёлые друзья-зверята. Сериал для детей из 26 серий. 16 серия. Жираф.","Название: Твои веселые друзья зверята. 16 серия:. Жираф Джордж.Познакомься с Джорджем - детенышем жирафа из африканской саванны. За малышом ухаживает его мама, но он также ходит в ""ясли"", где играет с другими детками. Посмотри, как Джордж справляется с муравьями и избегает встречи с хищными львами!. Оригинальное название: Your gay friends animals. Жанр: Документальный, научно-познавательный, семейный. Страна: США, ВВС. Год выпуска: 2009. Режиссер: Вив Симсон. О фильме: Познавательный и увлекательный сериал для самых маленьких зрителей. В этом фильме дети смогут не только наблюдать за любимыми животными, но и узнают ответы на многие любопытные вопросы, например такие как: кто громче всех рычит, у кого самая большая семья и даже у кого самый неприятный запах. А также познакомятся со многими другими поразительными цифрами и фактами, касающимися живой природы. ==================================================. Друзья, не забывайте подписываться на мой канал, чтобы не пропустить новые интересные видео из жизни Царя Зверей,- Льва (Pantera Leo)  и других животных семейства кошачьих. https://www.youtube.com/user/lion2125eye. ==================================================. =================================================="
