"position","videoId","seen","published","title","description"
"4","vT-rsZz5YWs","False","6/1/2015 9:34:55 AM +00:00","Пора в космос! Выпуск 4","Пора в космос! Выпуск 4 от 10 декабря 2010 года. В программе:. Космонавт Фёдор Юрчихин расскажет о том, как космонавты занимаются спортом на Международной космической станции. Каким был первый искусственный спутник Земли?. Эксперимент ""Марс 500"" продолжается."
"6","Ylkt3oG5578","False","6/1/2015 9:34:55 AM +00:00","Пора в космос! Выпуск 2","Пора в космос! Выпуск 2 от 26 ноября 2010 года. В программе:. Космонавт Федор Юрчихин проводит экскурсию по Международной космической станции. Как научиться управлять космическим кораблем?. Когда появится первая космическая база на Луне?"
"5","TeonoIcI4yw","False","6/1/2015 9:35:13 AM +00:00","Пора в космос! Выпуск 3","Пора в космос! Выпуск 3 от 3 декабря 2010 года. В программе:. Космонавт Фёдор Юрчихин проводит экскурсию по американскому сегменту Международной космической станции. Возможен ли полёт на Марс?. Кто изобрёл первый в мире телескоп?"
"7","DqK6qsKpolA","False","6/1/2015 9:37:43 AM +00:00","Пора в космос! Выпуск 1","Пора в космос! Выпуск 1 от 19 ноября 2010 года. В программе:. - Откуда стартуют космические экипажи?. - Как устроен космический корабль ""Союз"". Рассказ космонавта Федора Юрчихина с борта МКС. - Нужно ли уметь плавать, чтобы полететь в космос?"
"3","wWaA02KCmh8","False","6/2/2015 9:09:13 AM +00:00","Пора в космос! Выпуск 5","Пора в космос! Выпуск 5 от 17 декабря 2010 года. В программе:. Космонавт Фёдор Юрчихин расскажет о том, что входит в меню космонавтов. Кто раньше человека побывал в космосе?. Где и как делают ракеты ""Протон""."
"2","djn2Jiz8NJk","False","6/5/2015 7:26:28 PM +00:00","Пора в космос! Выпуск 6","Пора в космос! Выпуск 6 от 24 декабря 2010 года. В программе:. - Как устраняются неполадки на МКС рассказывает космонавт Фёдор Юрчихин. - Модные фасоны космических скафандров. - Как смелые мечты помогли совершить одно из самых великих открытий."
"1","vpW47PkDKu4","False","6/8/2015 12:35:05 PM +00:00","Пора в космос! Выпуск 7","Пора в космос! Выпуск 7 от 30 декабря 2010 года. В Новогодней программе:. - Что такое космическое время. - Как космонавты встречают Новый год на орбите. - Неожиданная встреча в Центре управления полётами."
"0","8H6lWjLx1j4","False","6/11/2015 2:38:39 PM +00:00","Пора в космос! Выпуск 8","Пора в космос! Выпуск 8. В программе:. - Гость студии летчик-космонавт Федор Юрчихин рассказывает о своих полётах в космос. - В каких случаях космонавты надевают скафандры ""Сокол""?. - Что такое невесомость?. Следующие выпуски программы ""Пора в космос"" смотрите на сайте телестудии Роскосмоса http://www.tvroscosmos.ru/114/201101/"
